Designator,Mid X,Mid Y,Rotation,Layer
BT1,338.105,-67.845,0.0,bottom
D1,16.525,-2.335,90.0,top
D10,203.275,-2.335,90.0,top
D11,222.325,-2.335,90.0,top
D12,241.375,-2.335,90.0,top
D13,260.425,-2.335,90.0,top
D14,283.225,-2.335,90.0,top
D15,207.025,-97.585,90.0,top
D16,345.204999,-4.355,180.0,top
D17,16.525,-21.385,90.0,top
D18,35.575,-21.385,90.0,top
D19,54.625,-21.385,90.0,top
D2,40.875,-2.335,90.0,top
D20,73.675,-21.385,90.0,top
D21,92.725,-21.385,90.0,top
D22,111.775,-21.385,90.0,top
D23,130.825,-21.385,90.0,top
D24,149.875,-21.385,90.0,top
D25,168.925,-21.385,90.0,top
D26,187.975,-21.385,90.0,top
D27,207.025,-21.385,90.0,top
D28,226.075,-21.385,90.0,top
D29,245.125,-21.385,90.0,top
D3,59.925,-2.335,90.0,top
D30,283.225,-21.385,90.0,top
D31,339.194999,-4.355,180.0,top
D33,26.05,-40.435,90.0,top
D34,45.1,-40.435,90.0,top
D35,64.15,-40.435,90.0,top
D36,83.2,-40.435,90.0,top
D37,102.25,-40.435,90.0,top
D38,121.3,-40.435,90.0,top
D39,140.35,-40.435,90.0,top
D4,78.975,-2.335,90.0,top
D40,159.4,-40.435,90.0,top
D41,178.45,-40.435,90.0,top
D42,197.5,-40.435,90.0,top
D43,216.55,-40.435,90.0,top
D44,235.6,-40.435,90.0,top
D45,254.65,-40.435,90.0,top
D46,283.225,-40.435,90.0,top
D49,30.8125,-59.485,90.0,top
D5,98.025,-2.335,90.0,top
D50,49.8625,-59.485,90.0,top
D51,68.9125,-59.485,90.0,top
D52,87.9625,-59.485,90.0,top
D53,107.0125,-59.485,90.0,top
D54,126.0625,-59.485,90.0,top
D55,145.1125,-59.485,90.0,top
D56,164.1625,-59.485,90.0,top
D57,183.2125,-59.485,90.0,top
D58,202.2625,-59.485,90.0,top
D59,221.3125,-59.485,90.0,top
D6,122.075,-2.335,90.0,top
D60,240.3625,-59.485,90.0,top
D61,283.225,-59.485,90.0,top
D65,40.3375,-78.535,90.0,top
D66,59.3875,-78.535,90.0,top
D67,78.4375,-78.535,90.0,top
D68,97.4875,-78.535,90.0,top
D69,116.5375,-78.535,90.0,top
D7,141.125,-2.335,90.0,top
D70,135.5875,-78.535,90.0,top
D71,154.6375,-78.535,90.0,top
D72,173.6875,-78.535,90.0,top
D73,192.7375,-78.535,90.0,top
D74,211.7875,-78.535,90.0,top
D75,230.8375,-78.535,90.0,top
D76,264.175,-78.535,90.0,top
D77,283.225,-78.535,90.0,top
D8,160.175,-2.335,90.0,top
D81,21.2875,-97.585,90.0,top
D82,45.1,-97.585,90.0,top
D83,68.9125,-97.585,90.0,top
D86,187.975,-97.585,90.0,top
D9,179.225,-2.335,90.0,top
D90,226.075,-97.585,90.0,top
D91,245.125,-97.585,90.0,top
D92,264.175,-97.585,90.0,top
D93,283.225,-97.585,90.0,top
D94,302.275,-97.585,90.0,top
J1,317.225,-73.745,0.0,top
J2,320.654999,-1.655,180.0,top
J3,331.344999,-1.375,180.0,top
R1,321.975,-9.905,270.0,top
R2,318.945,-9.985,270.0,top
R3,330.335,-56.865,180.0,top
R4,330.805,-9.265,270.0,top
S1,7.0,-4.835,0.0,top
S10,193.75,-4.835,0.0,top
S11,212.8,-4.835,0.0,top
S12,231.85,-4.835,0.0,top
S13,250.9,-4.835,0.0,top
S14,273.7,-4.835,0.0,top
S15,197.5,-100.085,0.0,top
S16,315.375,-101.7,0.0,top
S17,7.0,-23.885,0.0,top
S18,26.05,-23.885,0.0,top
S19,45.1,-23.885,0.0,top
S2,31.35,-4.835,0.0,top
S20,64.15,-23.885,0.0,top
S21,83.2,-23.885,0.0,top
S22,102.25,-23.885,0.0,top
S23,121.3,-23.885,0.0,top
S24,140.35,-23.885,0.0,top
S25,159.4,-23.885,0.0,top
S26,178.45,-23.885,0.0,top
S27,197.5,-23.885,0.0,top
S28,216.55,-23.885,0.0,top
S29,235.6,-23.885,0.0,top
S3,50.4,-4.835,0.0,top
S30,264.175,-23.885,0.0,top
S33,11.7625,-42.935,0.0,top
S34,35.575,-42.935,0.0,top
S35,54.625,-42.935,0.0,top
S36,73.675,-42.935,0.0,top
S37,92.725,-42.935,0.0,top
S38,111.775,-42.935,0.0,top
S39,130.825,-42.935,0.0,top
S4,69.45,-4.835,0.0,top
S40,149.875,-42.935,0.0,top
S41,168.925,-42.935,0.0,top
S42,187.975,-42.935,0.0,top
S43,207.025,-42.935,0.0,top
S44,226.075,-42.935,0.0,top
S45,245.125,-42.935,0.0,top
S46,268.9375,-42.935,0.0,top
S49,14.14375,-61.985,0.0,top
S5,88.5,-4.835,0.0,top
S50,40.3375,-61.985,0.0,top
S51,59.3875,-61.985,0.0,top
S52,78.4375,-61.985,0.0,top
S53,97.4875,-61.985,0.0,top
S54,116.5375,-61.985,0.0,top
S55,135.5875,-61.985,0.0,top
S56,154.6375,-61.985,0.0,top
S57,173.6875,-61.985,0.0,top
S58,192.7375,-61.985,0.0,top
S59,211.7875,-61.985,0.0,top
S6,112.55,-4.835,0.0,top
S60,230.8375,-61.985,0.0,top
S61,261.79375,-61.985,0.0,top
S65,18.90625,-81.035,0.0,top
S66,49.8625,-81.035,0.0,top
S67,68.9125,-81.035,0.0,top
S68,87.9625,-81.035,0.0,top
S69,107.0125,-81.035,0.0,top
S7,131.6,-4.835,0.0,top
S70,126.0625,-81.035,0.0,top
S71,145.1125,-81.035,0.0,top
S72,164.1625,-81.035,0.0,top
S73,183.2125,-81.035,0.0,top
S74,202.2625,-81.035,0.0,top
S75,221.3125,-81.035,0.0,top
S76,247.50625,-81.035,0.0,top
S77,273.7,-81.035,0.0,top
S8,150.65,-4.835,0.0,top
S81,9.38125,-100.085,0.0,top
S82,33.19375,-100.085,0.0,top
S83,57.00625,-100.085,0.0,top
S86,128.44375,-100.085,0.0,top
S9,169.7,-4.835,0.0,top
S90,216.55,-100.085,0.0,top
S91,235.6,-100.085,0.0,top
S92,254.65,-100.085,0.0,top
S93,273.7,-100.085,0.0,top
S94,292.75,-100.085,0.0,top
SW1,327.084999,-25.725,0.0,top
SW2,327.084999,-41.775,0.0,top
U1,302.404999,-28.65,180.0,top
U2,296.88,-74.055,0.0,top
U3,337.535,-57.545,270.0,top
