Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery_Cell,
"D1, D10, D11, D12, D13, D14, D15, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D8, D81, D82, D83, D86, D9, D90, D91, D92, D93, D94",Diode_DO-35,78,~,
"D16, D31",LED_D3.0mm_Horizontal_O1.27mm_Z10.0mm,2,LED,
J1,OLED_128x64,1,OLED_128x64,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
J3,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,Resistor,
"R3, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,R,
"S1, S10, S11, S12, S13, S14, S15, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S3, S34, S35, S36, S37, S38, S39, S4, S40, S41, S42, S43, S44, S45, S5, S50, S51, S52, S53, S54, S55, S56, S57, S58, S59, S6, S60, S66, S67, S68, S69, S7, S70, S71, S72, S73, S74, S75, S77, S8, S9, S90, S91, S92, S93, S94",MX_PCB_1.00u,67,~,
S16,Joystick_2765,1,Joystick_2765,
S30,MX_PCB_2.00u,1,~,
"S33, S46",MX_PCB_1.50u,2,~,
"S49, S76",MX_PCB_1.75u,2,~,
"S61, S65",MX_PCB_2.25u,2,~,
"S81, S82, S83",MX_PCB_1.25u,3,~,
S86,MX_PCB_6.25u,1,~,
"SW1, SW2",RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm_CircularMountingHoles,2,RotaryEncoder_Switch,
U1,ESP32-C6-DevKitC-1,1,ESP32-C6-DevKitC-1,
U2,DIP-28_W7.62mm,1,MCP23017_SP,
U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
